Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,24.941667,2.505663,0.002794,-0.000084,-4.076110,4.076110,0.00005883,0.01145601,4846.080679
1,24.883435,2.561938,0.030572,-0.000916,-4.076110,4.076110,0.00005882,0.01145401,4846.080679
2,24.825301,2.617983,0.058350,-0.001733,-4.076110,4.076110,0.00005881,0.01145201,4846.080679
3,24.767264,2.674012,0.086127,-0.002536,-4.076110,4.076110,0.00005880,0.01145001,4846.080679
4,24.709323,2.702786,0.113905,-0.003324,-4.076110,4.076110,0.00005879,0.01144802,4846.080679
5,24.651479,2.716625,0.141683,-0.004098,-4.076110,4.076110,0.00005878,0.01144603,4846.080679
6,24.593732,2.730451,0.169461,-0.004859,-4.076110,4.076110,0.00005877,0.01144405,4846.080679
7,24.536081,2.744260,0.197239,-0.005605,-4.076110,4.076110,0.00005876,0.01144207,4846.080679
8,24.478525,2.756890,0.225016,-0.006339,-4.076110,4.076110,0.00005875,0.01144009,4846.080679
9,24.421066,2.769506,0.252794,-0.007059,-4.076110,4.076110,0.00005874,0.01143811,4846.080679
10,24.363702,2.782109,0.280572,-0.007766,-4.076110,4.076110,0.00005873,0.01143614,4846.080679
11,24.306434,2.794097,0.308350,-0.008461,-4.076110,4.076110,0.00005872,0.01143417,4846.080679
12,24.249262,2.804998,0.336127,-0.009143,-4.076110,4.076110,0.00005871,0.01143221,4846.080679
13,24.192185,2.815887,0.363905,-0.009813,-4.076110,4.076110,0.00005870,0.01143025,4846.080679
14,24.135203,2.826764,0.391683,-0.010471,-4.076110,4.076110,0.00005869,0.01142829,4846.080679
15,24.078316,2.836129,0.419461,-0.011117,-4.076110,4.076110,0.00005868,0.01142633,4846.080679
16,24.021523,2.844888,0.447239,-0.011752,-4.076110,4.076110,0.00005867,0.01142438,4846.080679
17,23.964826,2.853636,0.475016,-0.012375,-4.076110,4.076110,0.00005866,0.01142243,4846.080679
18,23.908222,2.862268,0.502794,-0.012987,-4.076110,4.076110,0.00005865,0.01142048,4846.080679
19,23.851714,2.869572,0.530572,-0.013588,-4.076110,4.076110,0.00005864,0.01141854,4846.080679
20,23.795299,2.876865,0.558350,-0.014178,-4.076110,4.076110,0.00005863,0.01141660,4846.080679
21,23.738978,2.884148,0.586127,-0.014758,-4.076110,4.076110,0.00005862,0.01141467,4846.080679
22,23.682751,2.891095,0.613905,-0.015327,-4.076110,4.076110,0.00005861,0.01141273,4846.080679
23,23.626618,2.897602,0.641683,-0.015886,-4.076110,4.076110,0.00005860,0.01141080,4846.080679
24,23.570579,2.904099,0.669461,-0.016434,-4.076110,4.076110,0.00005859,0.01140888,4846.080679
25,23.514633,2.910586,0.697239,-0.016973,-4.076110,4.076110,0.00005858,0.01140696,4846.080679
26,23.458780,2.916665,0.725016,-0.017503,-4.076110,4.076110,0.00005857,0.01140504,4846.080679
27,23.403020,2.922628,0.752794,-0.018022,-4.076110,4.076110,0.00005856,0.01140312,4846.080679
28,23.347353,2.928581,0.780572,-0.018533,-4.076110,4.076110,0.00005855,0.01140121,4846.080679
29,23.291779,2.934478,0.808350,-0.019034,-4.076110,4.076110,0.00005854,0.01139929,4846.080679
30,23.236298,2.940081,0.836127,-0.019526,-4.076110,4.076110,0.00005853,0.01139739,4846.080679
31,23.180909,2.945675,0.863905,-0.020009,-4.076110,4.076110,0.00005852,0.01139548,4846.080679
32,23.125612,2.951260,0.891683,-0.020483,-4.076110,4.076110,0.00005851,0.01139358,4846.080679
