Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,24.958333,3.587215,30.153134,-0.000084,-4.076110,4.076110,0.00005884,0.01145658,4846.080679
1,24.916741,3.588430,30.180912,-0.000916,-4.076110,4.076110,0.00005883,0.01145515,4846.080679
2,24.875218,3.589415,30.208690,-0.001733,-4.076110,4.076110,0.00005882,0.01145372,4846.080679
3,24.833764,3.590385,30.236468,-0.002536,-4.076110,4.076110,0.00005881,0.01145230,4846.080679
4,24.792380,3.591303,30.264245,-0.003324,-4.076110,4.076110,0.00005881,0.01145088,4846.080679
5,24.751064,3.592162,30.292023,-0.004098,-4.076110,4.076110,0.00005880,0.01144946,4846.080679
6,24.709817,3.593007,30.319801,-0.004859,-4.076110,4.076110,0.00005879,0.01144804,4846.080679
7,24.668639,3.593839,30.347579,-0.005605,-4.076110,4.076110,0.00005878,0.01144662,4846.080679
8,24.627529,3.594792,30.375357,-0.006339,-4.076110,4.076110,0.00005878,0.01144521,4846.080679
9,24.586488,3.595762,30.403134,-0.007059,-4.076110,4.076110,0.00005877,0.01144380,4846.080679
10,24.545516,3.596719,30.430912,-0.007767,-4.076110,4.076110,0.00005876,0.01144239,4846.080679
11,24.504611,3.597635,30.458690,-0.008461,-4.076110,4.076110,0.00005876,0.01144098,4846.080679
12,24.463775,3.598403,30.486468,-0.009144,-4.076110,4.076110,0.00005875,0.01143958,4846.080679
13,24.423007,3.599158,30.514245,-0.009814,-4.076110,4.076110,0.00005874,0.01143818,4846.080679
14,24.382307,3.599902,30.542023,-0.010472,-4.076110,4.076110,0.00005873,0.01143678,4846.080679
15,24.341675,3.600677,30.569801,-0.011118,-4.076110,4.076110,0.00005873,0.01143538,4846.080679
16,24.301110,3.601479,30.597579,-0.011753,-4.076110,4.076110,0.00005872,0.01143399,4846.080679
17,24.260613,3.602270,30.625357,-0.012376,-4.076110,4.076110,0.00005871,0.01143260,4846.080679
18,24.220184,3.603050,30.653134,-0.012988,-4.076110,4.076110,0.00005871,0.01143121,4846.080679
19,24.179822,3.603818,30.680912,-0.013590,-4.076110,4.076110,0.00005870,0.01142982,4846.080679
20,24.139527,3.604576,30.708690,-0.014180,-4.076110,4.076110,0.00005869,0.01142844,4846.080679
21,24.099299,3.605323,30.736468,-0.014760,-4.076110,4.076110,0.00005868,0.01142705,4846.080679
22,24.059138,3.606039,30.764245,-0.015329,-4.076110,4.076110,0.00005868,0.01142567,4846.080679
23,24.019045,3.606680,30.792023,-0.015888,-4.076110,4.076110,0.00005867,0.01142429,4846.080679
24,23.979018,3.607312,30.819801,-0.016437,-4.076110,4.076110,0.00005866,0.01142292,4846.080679
25,23.939058,3.607933,30.847579,-0.016977,-4.076110,4.076110,0.00005866,0.01142154,4846.080679
26,23.899164,3.608648,30.875357,-0.017506,-4.076110,4.076110,0.00005865,0.01142017,4846.080679
27,23.859337,3.609421,30.903134,-0.018026,-4.076110,4.076110,0.00005864,0.01141880,4846.080679
28,23.819576,3.610184,30.930912,-0.018537,-4.076110,4.076110,0.00005863,0.01141744,4846.080679
29,23.779882,3.610938,30.958690,-0.019038,-4.076110,4.076110,0.00005863,0.01141607,4846.080679
30,23.740254,3.611519,30.986468,-0.019531,-4.076110,4.076110,0.00005862,0.01141471,4846.080679
31,23.700691,3.612085,31.014245,-0.020015,-4.076110,4.076110,0.00005861,0.01141335,4846.080679
32,23.661195,3.612642,31.042023,-0.020489,-4.076110,4.076110,0.00005861,0.01141199,4846.080679
33,23.621765,3.613218,31.069801,-0.020956,-4.076110,4.076110,0.00005860,0.01141064,4846.080679
34,23.582400,3.613844,31.097579,-0.021414,-4.076110,4.076110,0.00005859,0.01140928,4846.080679
35,23.543101,3.614461,31.125357,-0.021863,-4.076110,4.076110,0.00005859,0.01140793,4846.080679
36,23.503867,3.615070,31.153134,-0.022305,-4.076110,4.076110,0.00005858,0.01140659,4846.080679
37,23.464699,3.615615,31.180912,-0.022739,-4.076110,4.076110,0.00005857,0.01140524,4846.080679
38,23.425596,3.616126,31.208690,-0.023164,-4.076110,4.076110,0.00005857,0.01140389,4846.080679
39,23.386558,3.616629,31.236468,-0.023583,-4.076110,4.076110,0.00005856,0.01140255,4846.080679
40,23.347585,3.617127,31.264245,-0.023993,-4.076110,4.076110,0.00005855,0.01140121,4846.080679
41,23.308678,3.617698,31.292023,-0.024396,-4.076110,4.076110,0.00005854,0.01139988,4846.080679
42,23.269835,3.618261,31.319801,-0.024792,-4.076110,4.076110,0.00005854,0.01139854,4846.080679
43,23.231057,3.618817,31.347579,-0.025181,-4.076110,4.076110,0.00005853,0.01139721,4846.080679
44,23.192343,3.619333,31.375357,-0.025563,-4.076110,4.076110,0.00005852,0.01139588,4846.080679
45,23.153694,3.619790,31.403134,-0.025937,-4.076110,4.076110,0.00005852,0.01139455,4846.080679
46,23.115109,3.620241,31.430912,-0.026305,-4.076110,4.076110,0.00005851,0.01139322,4846.080679
47,23.076589,3.620684,31.458690,-0.026667,-4.076110,4.076110,0.00005850,0.01139190,4846.080679
48,23.038133,3.621187,31.486468,-0.027021,-4.076110,4.076110,0.00005850,0.01139058,4846.080679
49,22.999741,3.621706,31.514245,-0.027370,-4.076110,4.076110,0.00005849,0.01138926,4846.080679
50,22.961413,3.622218,31.542023,-0.027712,-4.076110,4.076110,0.00005848,0.01138794,4846.080679
51,22.923149,3.622715,31.569801,-0.028048,-4.076110,4.076110,0.00005848,0.01138662,4846.080679
52,22.884948,3.623127,31.597579,-0.028377,-4.076110,4.076110,0.00005847,0.01138531,4846.080679
53,22.846812,3.623533,31.625357,-0.028701,-4.076110,4.076110,0.00005846,0.01138400,4846.080679
54,22.808738,3.623933,31.653134,-0.029019,-4.076110,4.076110,0.00005846,0.01138269,4846.080679
55,22.770729,3.624406,31.680912,-0.029331,-4.076110,4.076110,0.00005845,0.01138138,4846.080679
56,22.732782,3.624965,31.708690,-0.029638,-4.076110,4.076110,0.00005844,0.01138008,4846.080679
57,22.694899,3.625518,31.736468,-0.029939,-4.076110,4.076110,0.00005844,0.01137878,4846.080679
58,22.657079,3.626066,31.764245,-0.030234,-4.076110,4.076110,0.00005843,0.01137748,4846.080679
59,22.619322,3.626470,31.792023,-0.030524,-4.076110,4.076110,0.00005842,0.01137618,4846.080679
60,22.581628,3.626837,31.819801,-0.030809,-4.076110,4.076110,0.00005842,0.01137488,4846.080679
61,22.543997,3.627199,31.847579,-0.031089,-4.076110,4.076110,0.00005841,0.01137359,4846.080679
62,22.506429,3.627541,31.875357,-0.031363,-4.076110,4.076110,0.00005840,0.01137230,4846.080679
63,22.468923,3.627811,31.903134,-0.031633,-4.076110,4.076110,0.00005840,0.01137101,4846.080679
64,22.431479,3.628075,31.930912,-0.031897,-4.076110,4.076110,0.00005839,0.01136972,4846.080679
65,22.394098,3.628335,31.958690,-0.032157,-4.076110,4.076110,0.00005838,0.01136844,4846.080679
66,22.356780,3.628679,31.986468,-0.032412,-4.076110,4.076110,0.00005838,0.01136716,4846.080679
67,22.319523,3.629097,32.014245,-0.032662,-4.076110,4.076110,0.00005837,0.01136587,4846.080679
68,22.282329,3.629510,32.042023,-0.032908,-4.076110,4.076110,0.00005836,0.01136460,4846.080679
69,22.245197,3.629919,32.069801,-0.033150,-4.076110,4.076110,0.00005836,0.01136332,4846.080679
70,22.208126,3.630472,32.097579,-0.033386,-4.076110,4.076110,0.00005835,0.01136205,4846.080679
71,22.171117,3.631039,32.125357,-0.033619,-4.076110,4.076110,0.00005834,0.01136077,4846.080679
72,22.134170,3.631602,32.153134,-0.033847,-4.076110,4.076110,0.00005834,0.01135950,4846.080679
73,22.097285,3.632059,32.180912,-0.034071,-4.076110,4.076110,0.00005833,0.01135824,4846.080679
74,22.060461,3.632197,32.208690,-0.034292,-4.076110,4.076110,0.00005832,0.01135697,4846.080679
75,22.023698,3.632330,32.236468,-0.034508,-4.076110,4.076110,0.00005832,0.01135571,4846.080679
76,21.986997,3.632460,32.264245,-0.034720,-4.076110,4.076110,0.00005831,0.01135444,4846.080679
77,21.950357,3.632736,32.292023,-0.034928,-4.076110,4.076110,0.00005830,0.01135318,4846.080679
78,21.913778,3.633108,32.319801,-0.035132,-4.076110,4.076110,0.00005830,0.01135193,4846.080679
79,21.877260,3.633476,32.347579,-0.035333,-4.076110,4.076110,0.00005829,0.01135067,4846.080679
80,21.840802,3.633840,32.375357,-0.035530,-4.076110,4.076110,0.00005829,0.01134942,4846.080679
81,21.804406,3.634201,32.403134,-0.035723,-4.076110,4.076110,0.00005828,0.01134817,4846.080679
82,21.768070,3.634558,32.430912,-0.035913,-4.076110,4.076110,0.00005827,0.01134692,4846.080679
83,21.731795,3.634912,32.458690,-0.036099,-4.076110,4.076110,0.00005827,0.01134567,4846.080679
84,21.695580,3.635209,32.486468,-0.036282,-4.076110,4.076110,0.00005826,0.01134443,4846.080679
85,21.659426,3.635389,32.514245,-0.036461,-4.076110,4.076110,0.00005825,0.01134318,4846.080679
86,21.623331,3.635565,32.542023,-0.036637,-4.076110,4.076110,0.00005825,0.01134194,4846.080679
87,21.587297,3.635738,32.569801,-0.036810,-4.076110,4.076110,0.00005824,0.01134070,4846.080679
88,21.551323,3.636132,32.597579,-0.036980,-4.076110,4.076110,0.00005823,0.01133947,4846.080679
89,21.515409,3.636634,32.625357,-0.037146,-4.076110,4.076110,0.00005823,0.01133823,4846.080679
90,21.479555,3.637132,32.653134,-0.037310,-4.076110,4.076110,0.00005822,0.01133700,4846.080679
91,21.443761,3.637620,32.680912,-0.037470,-4.076110,4.076110,0.00005822,0.01133577,4846.080679
92,21.408026,3.637860,32.708690,-0.037628,-4.076110,4.076110,0.00005821,0.01133454,4846.080679
93,21.372351,3.638097,32.736468,-0.037783,-4.076110,4.076110,0.00005820,0.01133332,4846.080679
94,21.336735,3.638331,32.764245,-0.037934,-4.076110,4.076110,0.00005820,0.01133209,4846.080679
95,21.301179,3.638563,32.792023,-0.038083,-4.076110,4.076110,0.00005819,0.01133087,4846.080679
96,21.265681,3.638794,32.819801,-0.038229,-4.076110,4.076110,0.00005818,0.01132965,4846.080679
97,21.230244,3.639023,32.847579,-0.038373,-4.076110,4.076110,0.00005818,0.01132843,4846.080679
98,21.194865,3.639249,32.875357,-0.038514,-4.076110,4.076110,0.00005817,0.01132722,4846.080679
99,21.159545,3.639594,32.903134,-0.038652,-4.076110,4.076110,0.00005817,0.01132600,4846.080679
100,21.124284,3.639980,32.930912,-0.038787,-4.076110,4.076110,0.00005816,0.01132479,4846.080679
