Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,24.958333,2.505663,0.002794,-0.000084,-4.076110,4.076110,0.00005884,0.01145658,4846.080679
1,24.916741,2.561938,0.030572,-0.000916,-4.076110,4.076110,0.00005883,0.01145515,4846.080679
2,24.875218,2.617983,0.058350,-0.001733,-4.076110,4.076110,0.00005882,0.01145372,4846.080679
3,24.833764,2.674012,0.086127,-0.002536,-4.076110,4.076110,0.00005881,0.01145230,4846.080679
4,24.792380,2.702786,0.113905,-0.003324,-4.076110,4.076110,0.00005881,0.01145088,4846.080679
5,24.751064,2.716626,0.141683,-0.004098,-4.076110,4.076110,0.00005880,0.01144946,4846.080679
6,24.709817,2.730451,0.169461,-0.004859,-4.076110,4.076110,0.00005879,0.01144804,4846.080679
7,24.668639,2.744260,0.197239,-0.005605,-4.076110,4.076110,0.00005878,0.01144662,4846.080679
8,24.627529,2.756890,0.225016,-0.006339,-4.076110,4.076110,0.00005878,0.01144521,4846.080679
9,24.586488,2.769506,0.252794,-0.007059,-4.076110,4.076110,0.00005877,0.01144380,4846.080679
10,24.545516,2.782110,0.280572,-0.007767,-4.076110,4.076110,0.00005876,0.01144239,4846.080679
11,24.504611,2.794097,0.308350,-0.008461,-4.076110,4.076110,0.00005876,0.01144098,4846.080679
12,24.463775,2.804999,0.336127,-0.009144,-4.076110,4.076110,0.00005875,0.01143958,4846.080679
13,24.423007,2.815888,0.363905,-0.009814,-4.076110,4.076110,0.00005874,0.01143818,4846.080679
14,24.382307,2.826765,0.391683,-0.010472,-4.076110,4.076110,0.00005873,0.01143678,4846.080679
15,24.341675,2.836130,0.419461,-0.011118,-4.076110,4.076110,0.00005873,0.01143538,4846.080679
16,24.301110,2.844889,0.447239,-0.011753,-4.076110,4.076110,0.00005872,0.01143399,4846.080679
17,24.260613,2.853637,0.475016,-0.012376,-4.076110,4.076110,0.00005871,0.01143260,4846.080679
18,24.220184,2.862270,0.502794,-0.012988,-4.076110,4.076110,0.00005871,0.01143121,4846.080679
19,24.179822,2.869574,0.530572,-0.013590,-4.076110,4.076110,0.00005870,0.01142982,4846.080679
20,24.139527,2.876867,0.558350,-0.014180,-4.076110,4.076110,0.00005869,0.01142844,4846.080679
21,24.099299,2.884150,0.586127,-0.014760,-4.076110,4.076110,0.00005868,0.01142705,4846.080679
22,24.059138,2.891097,0.613905,-0.015329,-4.076110,4.076110,0.00005868,0.01142567,4846.080679
23,24.019045,2.897605,0.641683,-0.015888,-4.076110,4.076110,0.00005867,0.01142429,4846.080679
24,23.979018,2.904102,0.669461,-0.016437,-4.076110,4.076110,0.00005866,0.01142292,4846.080679
25,23.939058,2.910589,0.697239,-0.016977,-4.076110,4.076110,0.00005866,0.01142154,4846.080679
26,23.899164,2.916669,0.725016,-0.017506,-4.076110,4.076110,0.00005865,0.01142017,4846.080679
27,23.859337,2.922632,0.752794,-0.018026,-4.076110,4.076110,0.00005864,0.01141880,4846.080679
28,23.819576,2.928586,0.780572,-0.018537,-4.076110,4.076110,0.00005863,0.01141744,4846.080679
29,23.779882,2.934483,0.808350,-0.019038,-4.076110,4.076110,0.00005863,0.01141607,4846.080679
30,23.740254,2.940086,0.836127,-0.019531,-4.076110,4.076110,0.00005862,0.01141471,4846.080679
31,23.700691,2.945681,0.863905,-0.020015,-4.076110,4.076110,0.00005861,0.01141335,4846.080679
32,23.661195,2.951267,0.891683,-0.020489,-4.076110,4.076110,0.00005861,0.01141199,4846.080679
33,23.621765,2.956675,0.919461,-0.020956,-4.076110,4.076110,0.00005860,0.01141064,4846.080679
34,23.582400,2.961906,0.947239,-0.021414,-4.076110,4.076110,0.00005859,0.01140928,4846.080679
35,23.543101,2.967129,0.975016,-0.021863,-4.076110,4.076110,0.00005859,0.01140793,4846.080679
36,23.503867,2.972344,1.002794,-0.022305,-4.076110,4.076110,0.00005858,0.01140659,4846.080679
37,23.464699,2.977193,1.030572,-0.022739,-4.076110,4.076110,0.00005857,0.01140524,4846.080679
38,23.425596,2.981975,1.058350,-0.023164,-4.076110,4.076110,0.00005857,0.01140389,4846.080679
39,23.386558,2.986749,1.086127,-0.023583,-4.076110,4.076110,0.00005856,0.01140255,4846.080679
40,23.347585,2.991480,1.113905,-0.023993,-4.076110,4.076110,0.00005855,0.01140121,4846.080679
41,23.308678,2.996071,1.141683,-0.024396,-4.076110,4.076110,0.00005854,0.01139988,4846.080679
42,23.269835,3.000656,1.169461,-0.024792,-4.076110,4.076110,0.00005854,0.01139854,4846.080679
43,23.231057,3.005233,1.197239,-0.025181,-4.076110,4.076110,0.00005853,0.01139721,4846.080679
44,23.192343,3.009757,1.225016,-0.025563,-4.076110,4.076110,0.00005852,0.01139588,4846.080679
45,23.153694,3.014238,1.252794,-0.025937,-4.076110,4.076110,0.00005852,0.01139455,4846.080679
46,23.115109,3.018712,1.280572,-0.026305,-4.076110,4.076110,0.00005851,0.01139322,4846.080679
47,23.076589,3.023180,1.308350,-0.026667,-4.076110,4.076110,0.00005850,0.01139190,4846.080679
48,23.038133,3.027406,1.336127,-0.027021,-4.076110,4.076110,0.00005850,0.01139058,4846.080679
49,22.999741,3.031608,1.363905,-0.027370,-4.076110,4.076110,0.00005849,0.01138926,4846.080679
50,22.961413,3.035804,1.391683,-0.027712,-4.076110,4.076110,0.00005848,0.01138794,4846.080679
51,22.923149,3.039922,1.419461,-0.028048,-4.076110,4.076110,0.00005848,0.01138662,4846.080679
52,22.884948,3.043853,1.447239,-0.028377,-4.076110,4.076110,0.00005847,0.01138531,4846.080679
53,22.846812,3.047778,1.475016,-0.028701,-4.076110,4.076110,0.00005846,0.01138400,4846.080679
54,22.808738,3.051697,1.502794,-0.029019,-4.076110,4.076110,0.00005846,0.01138269,4846.080679
55,22.770729,3.055558,1.530572,-0.029331,-4.076110,4.076110,0.00005845,0.01138138,4846.080679
56,22.732782,3.059383,1.558350,-0.029638,-4.076110,4.076110,0.00005844,0.01138008,4846.080679
57,22.694899,3.063203,1.586127,-0.029939,-4.076110,4.076110,0.00005844,0.01137878,4846.080679
58,22.657079,3.067017,1.613905,-0.030234,-4.076110,4.076110,0.00005843,0.01137748,4846.080679
59,22.619322,3.070656,1.641683,-0.030524,-4.076110,4.076110,0.00005842,0.01137618,4846.080679
60,22.581628,3.074289,1.669461,-0.030809,-4.076110,4.076110,0.00005842,0.01137488,4846.080679
61,22.543997,3.077918,1.697239,-0.031089,-4.076110,4.076110,0.00005841,0.01137359,4846.080679
62,22.506429,3.081482,1.725016,-0.031363,-4.076110,4.076110,0.00005840,0.01137230,4846.080679
63,22.468923,3.084936,1.752794,-0.031633,-4.076110,4.076110,0.00005840,0.01137101,4846.080679
64,22.431479,3.088385,1.780572,-0.031897,-4.076110,4.076110,0.00005839,0.01136972,4846.080679
65,22.394098,3.091828,1.808350,-0.032157,-4.076110,4.076110,0.00005838,0.01136844,4846.080679
66,22.356780,3.095148,1.836127,-0.032412,-4.076110,4.076110,0.00005838,0.01136716,4846.080679
67,22.319523,3.098415,1.863905,-0.032662,-4.076110,4.076110,0.00005837,0.01136587,4846.080679
68,22.282329,3.101677,1.891683,-0.032908,-4.076110,4.076110,0.00005836,0.01136460,4846.080679
69,22.245197,3.104935,1.919461,-0.033150,-4.076110,4.076110,0.00005836,0.01136332,4846.080679
70,22.208126,3.108186,1.947239,-0.033386,-4.076110,4.076110,0.00005835,0.01136205,4846.080679
71,22.171117,3.111432,1.975016,-0.033619,-4.076110,4.076110,0.00005834,0.01136077,4846.080679
72,22.134170,3.114674,2.002794,-0.033847,-4.076110,4.076110,0.00005834,0.01135950,4846.080679
73,22.097285,3.117842,2.030572,-0.034071,-4.076110,4.076110,0.00005833,0.01135824,4846.080679
74,22.060461,3.120912,2.058350,-0.034292,-4.076110,4.076110,0.00005832,0.01135697,4846.080679
75,22.023698,3.123977,2.086127,-0.034508,-4.076110,4.076110,0.00005832,0.01135571,4846.080679
76,21.986997,3.127038,2.113905,-0.034720,-4.076110,4.076110,0.00005831,0.01135444,4846.080679
77,21.950357,3.129962,2.141683,-0.034928,-4.076110,4.076110,0.00005830,0.01135318,4846.080679
78,21.913778,3.132845,2.169461,-0.035132,-4.076110,4.076110,0.00005830,0.01135193,4846.080679
79,21.877260,3.135725,2.197239,-0.035333,-4.076110,4.076110,0.00005829,0.01135067,4846.080679
80,21.840802,3.138613,2.225016,-0.035530,-4.076110,4.076110,0.00005829,0.01134942,4846.080679
81,21.804406,3.141573,2.252794,-0.035723,-4.076110,4.076110,0.00005828,0.01134817,4846.080679
82,21.768070,3.144530,2.280572,-0.035913,-4.076110,4.076110,0.00005827,0.01134692,4846.080679
83,21.731795,3.147483,2.308350,-0.036099,-4.076110,4.076110,0.00005827,0.01134567,4846.080679
84,21.695580,3.150265,2.336127,-0.036282,-4.076110,4.076110,0.00005826,0.01134443,4846.080679
85,21.659426,3.152873,2.363905,-0.036461,-4.076110,4.076110,0.00005825,0.01134318,4846.080679
86,21.623331,3.155479,2.391683,-0.036637,-4.076110,4.076110,0.00005825,0.01134194,4846.080679
87,21.587297,3.158081,2.419461,-0.036810,-4.076110,4.076110,0.00005824,0.01134070,4846.080679
