Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,25.033333,2.505663,0.002794,-0.000084,-4.076110,4.076110,0.00005885,0.01145916,4846.080679
10,25.363675,2.782112,0.280572,-0.007768,-4.076110,4.076110,0.00005891,0.01147051,4846.080679
20,25.688552,2.876876,0.558350,-0.014188,-4.076110,4.076110,0.00005896,0.01148168,4846.080679
30,26.008055,2.940111,0.836127,-0.019554,-4.076110,4.076110,0.00005902,0.01149266,4846.080679
40,26.322272,2.991530,1.113905,-0.024042,-4.076110,4.076110,0.00005908,0.01150347,4846.080679
50,26.631292,3.035891,1.391683,-0.027796,-4.076110,4.076110,0.00005913,0.01151409,4846.080679
60,26.935200,3.074422,1.669461,-0.030938,-4.076110,4.076110,0.00005918,0.01152453,4846.080679
70,27.234081,3.108373,1.947239,-0.033570,-4.076110,4.076110,0.00005924,0.01153481,4846.080679
80,27.528018,3.138863,2.225016,-0.035776,-4.076110,4.076110,0.00005929,0.01154491,4846.080679
90,27.817092,3.166188,2.502794,-0.037625,-4.076110,4.076110,0.00005934,0.01155485,4846.080679
100,28.101384,3.191251,2.780572,-0.039178,-4.076110,4.076110,0.00005939,0.01156462,4846.080679
110,28.380974,3.214563,3.058350,-0.040482,-4.076110,4.076110,0.00005944,0.01157423,4846.080679
120,28.655939,3.235665,3.336127,-0.041578,-4.076110,4.076110,0.00005949,0.01158368,4846.080679
130,28.926355,3.255167,3.613905,-0.042501,-4.076110,4.076110,0.00005954,0.01159298,4846.080679
140,29.192298,3.273910,3.891683,-0.043280,-4.076110,4.076110,0.00005958,0.01160212,4846.080679
150,29.453841,3.291325,4.169461,-0.043936,-4.076110,4.076110,0.00005963,0.01161111,4846.080679
160,29.711058,3.307112,4.447239,-0.044492,-4.076110,4.076110,0.00005967,0.01161995,4846.080679
170,29.964021,3.322431,4.725016,-0.044962,-4.076110,4.076110,0.00005972,0.01162865,4846.080679
180,30.212798,3.336764,5.002794,-0.045362,-4.076110,4.076110,0.00005976,0.01163720,4846.080679
190,30.457461,3.350057,5.280572,-0.045701,-4.076110,4.076110,0.00005981,0.01164561,4846.080679
200,30.698076,3.363148,5.558350,-0.045991,-4.076110,4.076110,0.00005985,0.01165388,4846.080679
210,30.934711,3.374907,5.836127,-0.046240,-4.076110,4.076110,0.00005989,0.01166201,4846.080679
220,31.167432,3.386317,6.113905,-0.046453,-4.076110,4.076110,0.00005993,0.01167001,4846.080679
230,31.396302,3.396720,6.391683,-0.046636,-4.076110,4.076110,0.00005997,0.01167788,4846.080679
240,31.621387,3.405751,6.669461,-0.046795,-4.076110,4.076110,0.00006001,0.01168562,4846.080679
250,31.842749,3.413819,6.947239,-0.046934,-4.076110,4.076110,0.00006005,0.01169323,4846.080679
260,32.060448,3.419618,7.225016,-0.047054,-4.076110,4.076110,0.00006009,0.01170071,4846.080679
270,32.274547,3.423553,7.502794,-0.047160,-4.076110,4.076110,0.00006013,0.01170807,4846.080679
280,32.485104,3.426386,7.780572,-0.047254,-4.076110,4.076110,0.00006016,0.01171531,4846.080679
290,32.692177,3.428996,8.058350,-0.047337,-4.076110,4.076110,0.00006020,0.01172242,4846.080679
300,32.895826,3.430849,8.336127,-0.047412,-4.076110,4.076110,0.00006024,0.01172942,4846.080679
310,33.096105,3.432643,8.613905,-0.047478,-4.076110,4.076110,0.00006027,0.01173631,4846.080679
320,33.293072,3.434626,8.891683,-0.047539,-4.076110,4.076110,0.00006031,0.01174308,4846.080679
330,33.486780,3.436355,9.169461,-0.047594,-4.076110,4.076110,0.00006034,0.01174974,4846.080679
340,33.677284,3.438207,9.447239,-0.047645,-4.076110,4.076110,0.00006037,0.01175629,4846.080679
350,33.864637,3.440160,9.725016,-0.047691,-4.076110,4.076110,0.00006041,0.01176273,4846.080679
360,34.048890,3.442110,10.002794,-0.047735,-4.076110,4.076110,0.00006044,0.01176906,4846.080679
370,34.230096,3.444356,10.280572,-0.047775,-4.076110,4.076110,0.00006047,0.01177529,4846.080679
380,34.408304,3.446295,10.558350,-0.047813,-4.076110,4.076110,0.00006050,0.01178141,4846.080679
390,34.583564,3.447931,10.836127,-0.047849,-4.076110,4.076110,0.00006053,0.01178744,4846.080679
400,34.755925,3.450480,11.113905,-0.047883,-4.076110,4.076110,0.00006057,0.01179336,4846.080679
410,34.925435,3.452411,11.391683,-0.047915,-4.076110,4.076110,0.00006060,0.01179919,4846.080679
420,34.992473,3.454649,11.669461,-0.047946,-4.076110,4.076110,0.00006061,0.01180149,4846.080679
430,35.009190,3.456274,11.947239,-0.047971,-4.076110,4.076110,0.00006061,0.01180207,4846.080679
440,35.000879,3.459069,12.225016,-0.047993,-4.076110,4.076110,0.00006061,0.01180178,4846.080679
450,34.992581,3.461338,12.502794,-0.048011,-4.076110,4.076110,0.00006061,0.01180150,4846.080679
460,35.009296,3.463756,12.780572,-0.048026,-4.076110,4.076110,0.00006061,0.01180207,4846.080679
470,35.000983,3.465811,13.058350,-0.048039,-4.076110,4.076110,0.00006061,0.01180179,4846.080679
480,34.992683,3.468612,13.336127,-0.048049,-4.076110,4.076110,0.00006061,0.01180150,4846.080679
490,35.009397,3.470829,13.613905,-0.048058,-4.076110,4.076110,0.00006061,0.01180208,4846.080679
500,35.001082,3.473348,13.891683,-0.048066,-4.076110,4.076110,0.00006061,0.01180179,4846.080679
510,34.992781,3.476479,14.169461,-0.048072,-4.076110,4.076110,0.00006061,0.01180151,4846.080679
520,35.009493,3.479246,14.447239,-0.048078,-4.076110,4.076110,0.00006061,0.01180208,4846.080679
530,35.001177,3.482130,14.725016,-0.048082,-4.076110,4.076110,0.00006061,0.01180179,4846.080679
540,34.992874,3.485138,15.002794,-0.048086,-4.076110,4.076110,0.00006061,0.01180151,4846.080679
550,35.009584,3.488394,15.280572,-0.048089,-4.076110,4.076110,0.00006061,0.01180208,4846.080679
560,35.001267,3.491755,15.558350,-0.048092,-4.076110,4.076110,0.00006061,0.01180180,4846.080679
570,34.992962,3.495106,15.836127,-0.048094,-4.076110,4.076110,0.00006061,0.01180151,4846.080679
580,35.009671,3.498457,16.113905,-0.048096,-4.076110,4.076110,0.00006061,0.01180209,4846.080679
590,35.001352,3.501796,16.391683,-0.048097,-4.076110,4.076110,0.00006061,0.01180180,4846.080679
600,34.993046,3.505159,16.669461,-0.048099,-4.076110,4.076110,0.00006061,0.01180151,4846.080679
610,35.009754,3.508983,16.947239,-0.048100,-4.076110,4.076110,0.00006061,0.01180209,4846.080679
620,35.001433,3.512254,17.225016,-0.048101,-4.076110,4.076110,0.00006061,0.01180180,4846.080679
630,34.993126,3.515519,17.502794,-0.048101,-4.076110,4.076110,0.00006061,0.01180152,4846.080679
640,35.009832,3.519252,17.780572,-0.048102,-4.076110,4.076110,0.00006061,0.01180209,4846.080679
650,35.001510,3.521917,18.058350,-0.048103,-4.076110,4.076110,0.00006061,0.01180181,4846.080679
660,34.993202,3.525887,18.336127,-0.048103,-4.076110,4.076110,0.00006061,0.01180152,4846.080679
670,35.009907,3.529236,18.613905,-0.048103,-4.076110,4.076110,0.00006061,0.01180209,4846.080679
680,35.001584,3.532663,18.891683,-0.048104,-4.076110,4.076110,0.00006061,0.01180181,4846.080679
690,34.993274,3.536398,19.169461,-0.048104,-4.076110,4.076110,0.00006061,0.01180152,4846.080679
700,35.009978,3.540343,19.447239,-0.048104,-4.076110,4.076110,0.00006061,0.01180210,4846.080679
710,35.001654,3.544162,19.725016,-0.048104,-4.076110,4.076110,0.00006061,0.01180181,4846.080679
