Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,25.033333,3.795070,60.308489,-0.000084,-4.076110,4.076110,0.00005885,0.01145916,4846.080679
1,25.066616,3.796535,60.336267,-0.000916,-4.076110,4.076110,0.00005885,0.01146030,4846.080679
2,25.099843,3.797770,60.364045,-0.001733,-4.076110,4.076110,0.00005886,0.01146145,4846.080679
3,25.133015,3.798989,60.391822,-0.002536,-4.076110,4.076110,0.00005887,0.01146259,4846.080679
4,25.166132,3.800159,60.419600,-0.003324,-4.076110,4.076110,0.00005887,0.01146372,4846.080679
5,25.199193,3.801271,60.447378,-0.004098,-4.076110,4.076110,0.00005888,0.01146486,4846.080679
6,25.232199,3.802369,60.475156,-0.004859,-4.076110,4.076110,0.00005888,0.01146599,4846.080679
7,25.265150,3.803453,60.502933,-0.005606,-4.076110,4.076110,0.00005889,0.01146713,4846.080679
8,25.298047,3.804589,60.530711,-0.006340,-4.076110,4.076110,0.00005890,0.01146826,4846.080679
9,25.330888,3.805727,60.558489,-0.007060,-4.076110,4.076110,0.00005890,0.01146939,4846.080679
10,25.363675,3.806852,60.586267,-0.007768,-4.076110,4.076110,0.00005891,0.01147051,4846.080679
11,25.396407,3.807965,60.614045,-0.008463,-4.076110,4.076110,0.00005891,0.01147164,4846.080679
12,25.429085,3.809068,60.641822,-0.009146,-4.076110,4.076110,0.00005892,0.01147276,4846.080679
13,25.461708,3.810158,60.669600,-0.009816,-4.076110,4.076110,0.00005892,0.01147388,4846.080679
14,25.494276,3.811237,60.697378,-0.010475,-4.076110,4.076110,0.00005893,0.01147500,4846.080679
15,25.526791,3.812170,60.725156,-0.011122,-4.076110,4.076110,0.00005894,0.01147612,4846.080679
16,25.559251,3.812973,60.752933,-0.011757,-4.076110,4.076110,0.00005894,0.01147724,4846.080679
17,25.591657,3.813765,60.780711,-0.012381,-4.076110,4.076110,0.00005895,0.01147835,4846.080679
18,25.624009,3.814545,60.808489,-0.012994,-4.076110,4.076110,0.00005895,0.01147946,4846.080679
19,25.656308,3.815536,60.836267,-0.013597,-4.076110,4.076110,0.00005896,0.01148057,4846.080679
20,25.688552,3.816545,60.864045,-0.014188,-4.076110,4.076110,0.00005896,0.01148168,4846.080679
21,25.720743,3.817543,60.891822,-0.014769,-4.076110,4.076110,0.00005897,0.01148279,4846.080679
22,25.752880,3.818511,60.919600,-0.015339,-4.076110,4.076110,0.00005898,0.01148389,4846.080679
23,25.784963,3.819406,60.947378,-0.015900,-4.076110,4.076110,0.00005898,0.01148500,4846.080679
24,25.816993,3.820292,60.975156,-0.016450,-4.076110,4.076110,0.00005899,0.01148610,4846.080679
25,25.848970,3.821167,61.002933,-0.016991,-4.076110,4.076110,0.00005899,0.01148720,4846.080679
26,25.880893,3.822033,61.030711,-0.017522,-4.076110,4.076110,0.00005900,0.01148829,4846.080679
27,25.912763,3.822890,61.058489,-0.018044,-4.076110,4.076110,0.00005900,0.01148939,4846.080679
28,25.944580,3.823737,61.086267,-0.018556,-4.076110,4.076110,0.00005901,0.01149048,4846.080679
29,25.976344,3.824575,61.114045,-0.019060,-4.076110,4.076110,0.00005902,0.01149157,4846.080679
30,26.008055,3.825407,61.141822,-0.019554,-4.076110,4.076110,0.00005902,0.01149266,4846.080679
31,26.039713,3.826231,61.169600,-0.020040,-4.076110,4.076110,0.00005903,0.01149375,4846.080679
32,26.071318,3.827045,61.197378,-0.020517,-4.076110,4.076110,0.00005903,0.01149484,4846.080679
33,26.102871,3.827799,61.225156,-0.020986,-4.076110,4.076110,0.00005904,0.01149592,4846.080679
34,26.134371,3.828426,61.252933,-0.021446,-4.076110,4.076110,0.00005904,0.01149701,4846.080679
35,26.165819,3.829046,61.280711,-0.021898,-4.076110,4.076110,0.00005905,0.01149809,4846.080679
36,26.197214,3.829658,61.308489,-0.022342,-4.076110,4.076110,0.00005905,0.01149917,4846.080679
37,26.228557,3.830373,61.336267,-0.022779,-4.076110,4.076110,0.00005906,0.01150024,4846.080679
38,26.259848,3.831137,61.364045,-0.023207,-4.076110,4.076110,0.00005907,0.01150132,4846.080679
39,26.291086,3.831893,61.391822,-0.023628,-4.076110,4.076110,0.00005907,0.01150239,4846.080679
40,26.322272,3.832641,61.419600,-0.024042,-4.076110,4.076110,0.00005908,0.01150347,4846.080679
41,26.353407,3.833382,61.447378,-0.024448,-4.076110,4.076110,0.00005908,0.01150454,4846.080679
42,26.384489,3.834116,61.475156,-0.024847,-4.076110,4.076110,0.00005909,0.01150560,4846.080679
43,26.415520,3.834843,61.502933,-0.025239,-4.076110,4.076110,0.00005909,0.01150667,4846.080679
44,26.446499,3.835563,61.530711,-0.025624,-4.076110,4.076110,0.00005910,0.01150774,4846.080679
45,26.477427,3.836276,61.558489,-0.026002,-4.076110,4.076110,0.00005910,0.01150880,4846.080679
46,26.508303,3.836983,61.586267,-0.026374,-4.076110,4.076110,0.00005911,0.01150986,4846.080679
47,26.539127,3.837683,61.614045,-0.026739,-4.076110,4.076110,0.00005911,0.01151092,4846.080679
48,26.569900,3.838252,61.641822,-0.027098,-4.076110,4.076110,0.00005912,0.01151198,4846.080679
49,26.600622,3.838772,61.669600,-0.027450,-4.076110,4.076110,0.00005913,0.01151303,4846.080679
50,26.631292,3.839286,61.697378,-0.027796,-4.076110,4.076110,0.00005913,0.01151409,4846.080679
51,26.661912,3.839809,61.725156,-0.028136,-4.076110,4.076110,0.00005914,0.01151514,4846.080679
52,26.692480,3.840479,61.752933,-0.028470,-4.076110,4.076110,0.00005914,0.01151619,4846.080679
53,26.722998,3.841142,61.780711,-0.028798,-4.076110,4.076110,0.00005915,0.01151724,4846.080679
54,26.753464,3.841800,61.808489,-0.029120,-4.076110,4.076110,0.00005915,0.01151829,4846.080679
55,26.783880,3.842413,61.836267,-0.029437,-4.076110,4.076110,0.00005916,0.01151933,4846.080679
56,26.814245,3.842974,61.864045,-0.029748,-4.076110,4.076110,0.00005916,0.01152038,4846.080679
57,26.844560,3.843529,61.891822,-0.030053,-4.076110,4.076110,0.00005917,0.01152142,4846.080679
58,26.874824,3.844079,61.919600,-0.030354,-4.076110,4.076110,0.00005917,0.01152246,4846.080679
59,26.905037,3.844696,61.947378,-0.030649,-4.076110,4.076110,0.00005918,0.01152350,4846.080679
60,26.935200,3.845323,61.975156,-0.030938,-4.076110,4.076110,0.00005918,0.01152453,4846.080679
61,26.965313,3.845946,62.002933,-0.031223,-4.076110,4.076110,0.00005919,0.01152557,4846.080679
62,26.995376,3.846562,62.030711,-0.031503,-4.076110,4.076110,0.00005920,0.01152660,4846.080679
63,27.025389,3.847172,62.058489,-0.031777,-4.076110,4.076110,0.00005920,0.01152763,4846.080679
64,27.055351,3.847777,62.086267,-0.032047,-4.076110,4.076110,0.00005921,0.01152866,4846.080679
65,27.085264,3.848377,62.114045,-0.032312,-4.076110,4.076110,0.00005921,0.01152969,4846.080679
66,27.115127,3.848883,62.141822,-0.032573,-4.076110,4.076110,0.00005922,0.01153072,4846.080679
67,27.144940,3.849307,62.169600,-0.032829,-4.076110,4.076110,0.00005922,0.01153174,4846.080679
68,27.174703,3.849726,62.197378,-0.033080,-4.076110,4.076110,0.00005923,0.01153277,4846.080679
69,27.204417,3.850140,62.225156,-0.033327,-4.076110,4.076110,0.00005923,0.01153379,4846.080679
70,27.234081,3.850550,62.252933,-0.033570,-4.076110,4.076110,0.00005924,0.01153481,4846.080679
71,27.263696,3.850956,62.280711,-0.033809,-4.076110,4.076110,0.00005924,0.01153583,4846.080679
72,27.293261,3.851358,62.308489,-0.034043,-4.076110,4.076110,0.00005925,0.01153684,4846.080679
73,27.322777,3.851797,62.336267,-0.034273,-4.076110,4.076110,0.00005925,0.01153786,4846.080679
74,27.352244,3.852358,62.364045,-0.034499,-4.076110,4.076110,0.00005926,0.01153887,4846.080679
75,27.381662,3.852915,62.391822,-0.034721,-4.076110,4.076110,0.00005926,0.01153988,4846.080679
76,27.411031,3.853468,62.419600,-0.034940,-4.076110,4.076110,0.00005927,0.01154089,4846.080679
77,27.440351,3.853966,62.447378,-0.035154,-4.076110,4.076110,0.00005927,0.01154190,4846.080679
78,27.469622,3.854427,62.475156,-0.035365,-4.076110,4.076110,0.00005928,0.01154290,4846.080679
79,27.498844,3.854884,62.502933,-0.035572,-4.076110,4.076110,0.00005928,0.01154391,4846.080679
80,27.528018,3.855337,62.530711,-0.035776,-4.076110,4.076110,0.00005929,0.01154491,4846.080679
81,27.557142,3.855708,62.558489,-0.035976,-4.076110,4.076110,0.00005929,0.01154591,4846.080679
82,27.586219,3.856072,62.586267,-0.036172,-4.076110,4.076110,0.00005930,0.01154691,4846.080679
83,27.615247,3.856432,62.614045,-0.036365,-4.076110,4.076110,0.00005930,0.01154791,4846.080679
84,27.644226,3.856842,62.641822,-0.036555,-4.076110,4.076110,0.00005931,0.01154891,4846.080679
85,27.673157,3.857363,62.669600,-0.036741,-4.076110,4.076110,0.00005932,0.01154990,4846.080679
86,27.702040,3.857881,62.697378,-0.036924,-4.076110,4.076110,0.00005932,0.01155089,4846.080679
87,27.730875,3.858396,62.725156,-0.037104,-4.076110,4.076110,0.00005933,0.01155188,4846.080679
88,27.759662,3.858853,62.752933,-0.037281,-4.076110,4.076110,0.00005933,0.01155287,4846.080679
89,27.788401,3.859279,62.780711,-0.037455,-4.076110,4.076110,0.00005934,0.01155386,4846.080679
90,27.817092,3.859702,62.808489,-0.037625,-4.076110,4.076110,0.00005934,0.01155485,4846.080679
91,27.845735,3.860120,62.836267,-0.037793,-4.076110,4.076110,0.00005935,0.01155583,4846.080679
92,27.874330,3.860452,62.864045,-0.037958,-4.076110,4.076110,0.00005935,0.01155682,4846.080679
93,27.902878,3.860782,62.891822,-0.038120,-4.076110,4.076110,0.00005936,0.01155780,4846.080679
94,27.931378,3.861108,62.919600,-0.038279,-4.076110,4.076110,0.00005936,0.01155878,4846.080679
95,27.959831,3.861465,62.947378,-0.038435,-4.076110,4.076110,0.00005937,0.01155975,4846.080679
96,27.988236,3.861871,62.975156,-0.038589,-4.076110,4.076110,0.00005937,0.01156073,4846.080679
97,28.016594,3.862275,63.002933,-0.038740,-4.076110,4.076110,0.00005938,0.01156171,4846.080679
98,28.044905,3.862676,63.030711,-0.038889,-4.076110,4.076110,0.00005938,0.01156268,4846.080679
99,28.073168,3.863072,63.058489,-0.039034,-4.076110,4.076110,0.00005939,0.01156365,4846.080679
100,28.101384,3.863465,63.086267,-0.039178,-4.076110,4.076110,0.00005939,0.01156462,4846.080679
101,28.129554,3.863856,63.114045,-0.039319,-4.076110,4.076110,0.00005940,0.01156559,4846.080679
102,28.157676,3.864244,63.141822,-0.039457,-4.076110,4.076110,0.00005940,0.01156656,4846.080679
103,28.185751,3.864633,63.169600,-0.039593,-4.076110,4.076110,0.00005941,0.01156752,4846.080679
104,28.213780,3.865019,63.197378,-0.039727,-4.076110,4.076110,0.00005941,0.01156848,4846.080679
105,28.241762,3.865403,63.225156,-0.039858,-4.076110,4.076110,0.00005942,0.01156945,4846.080679
106,28.269697,3.865783,63.252933,-0.039987,-4.076110,4.076110,0.00005942,0.01157041,4846.080679
107,28.297586,3.866160,63.280711,-0.040114,-4.076110,4.076110,0.00005943,0.01157136,4846.080679
108,28.325428,3.866535,63.308489,-0.040239,-4.076110,4.076110,0.00005943,0.01157232,4846.080679
109,28.353224,3.866907,63.336267,-0.040361,-4.076110,4.076110,0.00005944,0.01157328,4846.080679
110,28.380974,3.867279,63.364045,-0.040482,-4.076110,4.076110,0.00005944,0.01157423,4846.080679
111,28.408677,3.867650,63.391822,-0.040600,-4.076110,4.076110,0.00005944,0.01157518,4846.080679
112,28.436334,3.868019,63.419600,-0.040716,-4.076110,4.076110,0.00005945,0.01157613,4846.080679
113,28.463945,3.868386,63.447378,-0.040831,-4.076110,4.076110,0.00005945,0.01157708,4846.080679
114,28.491510,3.868748,63.475156,-0.040943,-4.076110,4.076110,0.00005946,0.01157803,4846.080679
115,28.519030,3.869108,63.502933,-0.041054,-4.076110,4.076110,0.00005946,0.01157898,4846.080679
116,28.546503,3.869467,63.530711,-0.041162,-4.076110,4.076110,0.00005947,0.01157992,4846.080679
117,28.573930,3.869780,63.558489,-0.041269,-4.076110,4.076110,0.00005947,0.01158086,4846.080679
118,28.601312,3.870052,63.586267,-0.041374,-4.076110,4.076110,0.00005948,0.01158180,4846.080679
119,28.628648,3.870323,63.614045,-0.041477,-4.076110,4.076110,0.00005948,0.01158274,4846.080679
120,28.655939,3.870591,63.641822,-0.041578,-4.076110,4.076110,0.00005949,0.01158368,4846.080679
121,28.683184,3.870934,63.669600,-0.041678,-4.076110,4.076110,0.00005949,0.01158462,4846.080679
122,28.710383,3.871284,63.697378,-0.041776,-4.076110,4.076110,0.00005950,0.01158555,4846.080679
123,28.737538,3.871633,63.725156,-0.041872,-4.076110,4.076110,0.00005950,0.01158649,4846.080679
124,28.764647,3.872000,63.752933,-0.041967,-4.076110,4.076110,0.00005951,0.01158742,4846.080679
125,28.791710,3.872428,63.780711,-0.042060,-4.076110,4.076110,0.00005951,0.01158835,4846.080679
126,28.818729,3.872854,63.808489,-0.042151,-4.076110,4.076110,0.00005952,0.01158928,4846.080679
127,28.845703,3.873279,63.836267,-0.042241,-4.076110,4.076110,0.00005952,0.01159021,4846.080679
128,28.872632,3.873653,63.864045,-0.042329,-4.076110,4.076110,0.00005953,0.01159113,4846.080679
129,28.899516,3.873992,63.891822,-0.042416,-4.076110,4.076110,0.00005953,0.01159206,4846.080679
130,28.926355,3.874330,63.919600,-0.042501,-4.076110,4.076110,0.00005954,0.01159298,4846.080679
131,28.953149,3.874667,63.947378,-0.042585,-4.076110,4.076110,0.00005954,0.01159390,4846.080679
132,28.979899,3.874999,63.975156,-0.042668,-4.076110,4.076110,0.00005955,0.01159482,4846.080679
133,29.006604,3.875330,64.002933,-0.042749,-4.076110,4.076110,0.00005955,0.01159574,4846.080679
134,29.033264,3.875659,64.030711,-0.042829,-4.076110,4.076110,0.00005956,0.01159665,4846.080679
135,29.059881,3.875988,64.058489,-0.042907,-4.076110,4.076110,0.00005956,0.01159757,4846.080679
136,29.086452,3.876318,64.086267,-0.042984,-4.076110,4.076110,0.00005956,0.01159848,4846.080679
137,29.112980,3.876646,64.114045,-0.043060,-4.076110,4.076110,0.00005957,0.01159939,4846.080679
138,29.139463,3.876973,64.141822,-0.043134,-4.076110,4.076110,0.00005957,0.01160030,4846.080679
