Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,24.956667,2.505663,0.002794,-0.000084,-4.076110,4.076110,0.00005884,0.01145652,4846.080679
10,24.527334,2.782110,0.280572,-0.007767,-4.076110,4.076110,0.00005876,0.01144177,4846.080679
20,24.105104,2.876867,0.558350,-0.014180,-4.076110,4.076110,0.00005869,0.01142725,4846.080679
30,23.689858,2.940086,0.836127,-0.019530,-4.076110,4.076110,0.00005861,0.01141298,4846.080679
40,23.281481,2.991479,1.113905,-0.023992,-4.076110,4.076110,0.00005854,0.01139894,4846.080679
50,22.879860,3.035802,1.391683,-0.027710,-4.076110,4.076110,0.00005847,0.01138514,4846.080679
60,22.484882,3.074286,1.669461,-0.030806,-4.076110,4.076110,0.00005840,0.01137156,4846.080679
70,22.096438,3.108182,1.947239,-0.033382,-4.076110,4.076110,0.00005833,0.01135821,4846.080679
80,21.714420,3.138607,2.225016,-0.035524,-4.076110,4.076110,0.00005826,0.01134507,4846.080679
90,21.338721,3.165861,2.502794,-0.037303,-4.076110,4.076110,0.00005820,0.01133216,4846.080679
100,20.969237,3.190847,2.780572,-0.038779,-4.076110,4.076110,0.00005813,0.01131946,4846.080679
110,20.605865,3.214077,3.058350,-0.040001,-4.076110,4.076110,0.00005807,0.01130697,4846.080679
120,20.248504,3.235093,3.336127,-0.041012,-4.076110,4.076110,0.00005800,0.01129469,4846.080679
130,19.897054,3.254507,3.613905,-0.041847,-4.076110,4.076110,0.00005794,0.01128260,4846.080679
140,19.551418,3.273159,3.891683,-0.042535,-4.076110,4.076110,0.00005788,0.01127072,4846.080679
150,19.211500,3.290482,4.169461,-0.043101,-4.076110,4.076110,0.00005782,0.01125904,4846.080679
160,18.877204,3.306177,4.447239,-0.043564,-4.076110,4.076110,0.00005776,0.01124755,4846.080679
170,18.548439,3.321403,4.725016,-0.043943,-4.076110,4.076110,0.00005770,0.01123625,4846.080679
180,18.225112,3.335643,5.002794,-0.044250,-4.076110,4.076110,0.00005765,0.01122513,4846.080679
190,17.907133,3.348845,5.280572,-0.044499,-4.076110,4.076110,0.00005759,0.01121420,4846.080679
200,17.594415,3.361846,5.558350,-0.044698,-4.076110,4.076110,0.00005754,0.01120345,4846.080679
