Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,25.033333,2.505663,0.002794,-0.000084,-4.076110,4.076110,0.00005885,0.01145916,4846.080679
1,25.066616,2.561938,0.030572,-0.000916,-4.076110,4.076110,0.00005885,0.01146030,4846.080679
2,25.099843,2.617983,0.058350,-0.001733,-4.076110,4.076110,0.00005886,0.01146145,4846.080679
3,25.133015,2.674013,0.086127,-0.002536,-4.076110,4.076110,0.00005887,0.01146259,4846.080679
4,25.166132,2.702786,0.113905,-0.003324,-4.076110,4.076110,0.00005887,0.01146372,4846.080679
5,25.199193,2.716626,0.141683,-0.004098,-4.076110,4.076110,0.00005888,0.01146486,4846.080679
6,25.232199,2.730452,0.169461,-0.004859,-4.076110,4.076110,0.00005888,0.01146599,4846.080679
7,25.265150,2.744261,0.197239,-0.005606,-4.076110,4.076110,0.00005889,0.01146713,4846.080679
8,25.298047,2.756891,0.225016,-0.006340,-4.076110,4.076110,0.00005890,0.01146826,4846.080679
9,25.330888,2.769508,0.252794,-0.007060,-4.076110,4.076110,0.00005890,0.01146939,4846.080679
10,25.363675,2.782112,0.280572,-0.007768,-4.076110,4.076110,0.00005891,0.01147051,4846.080679
11,25.396407,2.794100,0.308350,-0.008463,-4.076110,4.076110,0.00005891,0.01147164,4846.080679
12,25.429085,2.805002,0.336127,-0.009146,-4.076110,4.076110,0.00005892,0.01147276,4846.080679
13,25.461708,2.815891,0.363905,-0.009816,-4.076110,4.076110,0.00005892,0.01147388,4846.080679
14,25.494276,2.826769,0.391683,-0.010475,-4.076110,4.076110,0.00005893,0.01147500,4846.080679
15,25.526791,2.836134,0.419461,-0.011122,-4.076110,4.076110,0.00005894,0.01147612,4846.080679
16,25.559251,2.844895,0.447239,-0.011757,-4.076110,4.076110,0.00005894,0.01147724,4846.080679
17,25.591657,2.853643,0.475016,-0.012381,-4.076110,4.076110,0.00005895,0.01147835,4846.080679
18,25.624009,2.862277,0.502794,-0.012994,-4.076110,4.076110,0.00005895,0.01147946,4846.080679
19,25.656308,2.869582,0.530572,-0.013597,-4.076110,4.076110,0.00005896,0.01148057,4846.080679
20,25.688552,2.876876,0.558350,-0.014188,-4.076110,4.076110,0.00005896,0.01148168,4846.080679
21,25.720743,2.884160,0.586127,-0.014769,-4.076110,4.076110,0.00005897,0.01148279,4846.080679
22,25.752880,2.891109,0.613905,-0.015339,-4.076110,4.076110,0.00005898,0.01148389,4846.080679
23,25.784963,2.897618,0.641683,-0.015900,-4.076110,4.076110,0.00005898,0.01148500,4846.080679
24,25.816993,2.904116,0.669461,-0.016450,-4.076110,4.076110,0.00005899,0.01148610,4846.080679
25,25.848970,2.910605,0.697239,-0.016991,-4.076110,4.076110,0.00005899,0.01148720,4846.080679
26,25.880893,2.916687,0.725016,-0.017522,-4.076110,4.076110,0.00005900,0.01148829,4846.080679
27,25.912763,2.922652,0.752794,-0.018044,-4.076110,4.076110,0.00005900,0.01148939,4846.080679
28,25.944580,2.928607,0.780572,-0.018556,-4.076110,4.076110,0.00005901,0.01149048,4846.080679
29,25.976344,2.934506,0.808350,-0.019060,-4.076110,4.076110,0.00005902,0.01149157,4846.080679
30,26.008055,2.940111,0.836127,-0.019554,-4.076110,4.076110,0.00005902,0.01149266,4846.080679
31,26.039713,2.945708,0.863905,-0.020040,-4.076110,4.076110,0.00005903,0.01149375,4846.080679
32,26.071318,2.951296,0.891683,-0.020517,-4.076110,4.076110,0.00005903,0.01149484,4846.080679
33,26.102871,2.956706,0.919461,-0.020986,-4.076110,4.076110,0.00005904,0.01149592,4846.080679
34,26.134371,2.961940,0.947239,-0.021446,-4.076110,4.076110,0.00005904,0.01149701,4846.080679
35,26.165819,2.967166,0.975016,-0.021898,-4.076110,4.076110,0.00005905,0.01149809,4846.080679
36,26.197214,2.972383,1.002794,-0.022342,-4.076110,4.076110,0.00005905,0.01149917,4846.080679
37,26.228557,2.977235,1.030572,-0.022779,-4.076110,4.076110,0.00005906,0.01150024,4846.080679
38,26.259848,2.982020,1.058350,-0.023207,-4.076110,4.076110,0.00005907,0.01150132,4846.080679
39,26.291086,2.986797,1.086127,-0.023628,-4.076110,4.076110,0.00005907,0.01150239,4846.080679
40,26.322272,2.991530,1.113905,-0.024042,-4.076110,4.076110,0.00005908,0.01150347,4846.080679
41,26.353407,2.996125,1.141683,-0.024448,-4.076110,4.076110,0.00005908,0.01150454,4846.080679
42,26.384489,3.000713,1.169461,-0.024847,-4.076110,4.076110,0.00005909,0.01150560,4846.080679
43,26.415520,3.005294,1.197239,-0.025239,-4.076110,4.076110,0.00005909,0.01150667,4846.080679
44,26.446499,3.009820,1.225016,-0.025624,-4.076110,4.076110,0.00005910,0.01150774,4846.080679
45,26.477427,3.014305,1.252794,-0.026002,-4.076110,4.076110,0.00005910,0.01150880,4846.080679
46,26.508303,3.018783,1.280572,-0.026374,-4.076110,4.076110,0.00005911,0.01150986,4846.080679
47,26.539127,3.023254,1.308350,-0.026739,-4.076110,4.076110,0.00005911,0.01151092,4846.080679
48,26.569900,3.027485,1.336127,-0.027098,-4.076110,4.076110,0.00005912,0.01151198,4846.080679
49,26.600622,3.031691,1.363905,-0.027450,-4.076110,4.076110,0.00005913,0.01151303,4846.080679
50,26.631292,3.035891,1.391683,-0.027796,-4.076110,4.076110,0.00005913,0.01151409,4846.080679
51,26.661912,3.040013,1.419461,-0.028136,-4.076110,4.076110,0.00005914,0.01151514,4846.080679
52,26.692480,3.043948,1.447239,-0.028470,-4.076110,4.076110,0.00005914,0.01151619,4846.080679
53,26.722998,3.047877,1.475016,-0.028798,-4.076110,4.076110,0.00005915,0.01151724,4846.080679
54,26.753464,3.051801,1.502794,-0.029120,-4.076110,4.076110,0.00005915,0.01151829,4846.080679
55,26.783880,3.055666,1.530572,-0.029437,-4.076110,4.076110,0.00005916,0.01151933,4846.080679
56,26.814245,3.059496,1.558350,-0.029748,-4.076110,4.076110,0.00005916,0.01152038,4846.080679
57,26.844560,3.063320,1.586127,-0.030053,-4.076110,4.076110,0.00005917,0.01152142,4846.080679
58,26.874824,3.067139,1.613905,-0.030354,-4.076110,4.076110,0.00005917,0.01152246,4846.080679
59,26.905037,3.070783,1.641683,-0.030649,-4.076110,4.076110,0.00005918,0.01152350,4846.080679
60,26.935200,3.074422,1.669461,-0.030938,-4.076110,4.076110,0.00005918,0.01152453,4846.080679
61,26.965313,3.078055,1.697239,-0.031223,-4.076110,4.076110,0.00005919,0.01152557,4846.080679
62,26.995376,3.081625,1.725016,-0.031503,-4.076110,4.076110,0.00005920,0.01152660,4846.080679
63,27.025389,3.085084,1.752794,-0.031777,-4.076110,4.076110,0.00005920,0.01152763,4846.080679
64,27.055351,3.088538,1.780572,-0.032047,-4.076110,4.076110,0.00005921,0.01152866,4846.080679
65,27.085264,3.091987,1.808350,-0.032312,-4.076110,4.076110,0.00005921,0.01152969,4846.080679
66,27.115127,3.095312,1.836127,-0.032573,-4.076110,4.076110,0.00005922,0.01153072,4846.080679
67,27.144940,3.098585,1.863905,-0.032829,-4.076110,4.076110,0.00005922,0.01153174,4846.080679
68,27.174703,3.101853,1.891683,-0.033080,-4.076110,4.076110,0.00005923,0.01153277,4846.080679
69,27.204417,3.105117,1.919461,-0.033327,-4.076110,4.076110,0.00005923,0.01153379,4846.080679
70,27.234081,3.108373,1.947239,-0.033570,-4.076110,4.076110,0.00005924,0.01153481,4846.080679
71,27.263696,3.111626,1.975016,-0.033809,-4.076110,4.076110,0.00005924,0.01153583,4846.080679
72,27.293261,3.114874,2.002794,-0.034043,-4.076110,4.076110,0.00005925,0.01153684,4846.080679
73,27.322777,3.118048,2.030572,-0.034273,-4.076110,4.076110,0.00005925,0.01153786,4846.080679
74,27.352244,3.121123,2.058350,-0.034499,-4.076110,4.076110,0.00005926,0.01153887,4846.080679
75,27.381662,3.124194,2.086127,-0.034721,-4.076110,4.076110,0.00005926,0.01153988,4846.080679
76,27.411031,3.127262,2.113905,-0.034940,-4.076110,4.076110,0.00005927,0.01154089,4846.080679
77,27.440351,3.130192,2.141683,-0.035154,-4.076110,4.076110,0.00005927,0.01154190,4846.080679
78,27.469622,3.133082,2.169461,-0.035365,-4.076110,4.076110,0.00005928,0.01154290,4846.080679
79,27.498844,3.135968,2.197239,-0.035572,-4.076110,4.076110,0.00005928,0.01154391,4846.080679
80,27.528018,3.138863,2.225016,-0.035776,-4.076110,4.076110,0.00005929,0.01154491,4846.080679
81,27.557142,3.141830,2.252794,-0.035976,-4.076110,4.076110,0.00005929,0.01154591,4846.080679
82,27.586219,3.144793,2.280572,-0.036172,-4.076110,4.076110,0.00005930,0.01154691,4846.080679
83,27.615247,3.147753,2.308350,-0.036365,-4.076110,4.076110,0.00005930,0.01154791,4846.080679
84,27.644226,3.150542,2.336127,-0.036555,-4.076110,4.076110,0.00005931,0.01154891,4846.080679
85,27.673157,3.153158,2.363905,-0.036741,-4.076110,4.076110,0.00005932,0.01154990,4846.080679
86,27.702040,3.155770,2.391683,-0.036924,-4.076110,4.076110,0.00005932,0.01155089,4846.080679
87,27.730875,3.158379,2.419461,-0.037104,-4.076110,4.076110,0.00005933,0.01155188,4846.080679
88,27.759662,3.160985,2.447239,-0.037281,-4.076110,4.076110,0.00005933,0.01155287,4846.080679
89,27.788401,3.163588,2.475016,-0.037455,-4.076110,4.076110,0.00005934,0.01155386,4846.080679
90,27.817092,3.166188,2.502794,-0.037625,-4.076110,4.076110,0.00005934,0.01155485,4846.080679
91,27.845735,3.168785,2.530572,-0.037793,-4.076110,4.076110,0.00005935,0.01155583,4846.080679
92,27.874330,3.171379,2.558350,-0.037958,-4.076110,4.076110,0.00005935,0.01155682,4846.080679
93,27.902878,3.173970,2.586127,-0.038120,-4.076110,4.076110,0.00005936,0.01155780,4846.080679
94,27.931378,3.176558,2.613905,-0.038279,-4.076110,4.076110,0.00005936,0.01155878,4846.080679
95,27.959831,3.179096,2.641683,-0.038435,-4.076110,4.076110,0.00005937,0.01155975,4846.080679
96,27.988236,3.181594,2.669461,-0.038589,-4.076110,4.076110,0.00005937,0.01156073,4846.080679
97,28.016594,3.184089,2.697239,-0.038740,-4.076110,4.076110,0.00005938,0.01156171,4846.080679
98,28.044905,3.186581,2.725016,-0.038889,-4.076110,4.076110,0.00005938,0.01156268,4846.080679
99,28.073168,3.188924,2.752794,-0.039034,-4.076110,4.076110,0.00005939,0.01156365,4846.080679
100,28.101384,3.191251,2.780572,-0.039178,-4.076110,4.076110,0.00005939,0.01156462,4846.080679
101,28.129554,3.193577,2.808350,-0.039319,-4.076110,4.076110,0.00005940,0.01156559,4846.080679
102,28.157676,3.195922,2.836127,-0.039457,-4.076110,4.076110,0.00005940,0.01156656,4846.080679
103,28.185751,3.198320,2.863905,-0.039593,-4.076110,4.076110,0.00005941,0.01156752,4846.080679
104,28.213780,3.200715,2.891683,-0.039727,-4.076110,4.076110,0.00005941,0.01156848,4846.080679
105,28.241762,3.203108,2.919461,-0.039858,-4.076110,4.076110,0.00005942,0.01156945,4846.080679
106,28.269697,3.205444,2.947239,-0.039987,-4.076110,4.076110,0.00005942,0.01157041,4846.080679
107,28.297586,3.207748,2.975016,-0.040114,-4.076110,4.076110,0.00005943,0.01157136,4846.080679
108,28.325428,3.210049,3.002794,-0.040239,-4.076110,4.076110,0.00005943,0.01157232,4846.080679
109,28.353224,3.212348,3.030572,-0.040361,-4.076110,4.076110,0.00005944,0.01157328,4846.080679
110,28.380974,3.214563,3.058350,-0.040482,-4.076110,4.076110,0.00005944,0.01157423,4846.080679
111,28.408677,3.216776,3.086127,-0.040600,-4.076110,4.076110,0.00005944,0.01157518,4846.080679
112,28.436334,3.218986,3.113905,-0.040716,-4.076110,4.076110,0.00005945,0.01157613,4846.080679
113,28.463945,3.221165,3.141683,-0.040831,-4.076110,4.076110,0.00005945,0.01157708,4846.080679
114,28.491510,3.223286,3.169461,-0.040943,-4.076110,4.076110,0.00005946,0.01157803,4846.080679
115,28.519030,3.225406,3.197239,-0.041054,-4.076110,4.076110,0.00005946,0.01157898,4846.080679
116,28.546503,3.227524,3.225016,-0.041162,-4.076110,4.076110,0.00005947,0.01157992,4846.080679
117,28.573930,3.229581,3.252794,-0.041269,-4.076110,4.076110,0.00005947,0.01158086,4846.080679
118,28.601312,3.231613,3.280572,-0.041374,-4.076110,4.076110,0.00005948,0.01158180,4846.080679
119,28.628648,3.233643,3.308350,-0.041477,-4.076110,4.076110,0.00005948,0.01158274,4846.080679
120,28.655939,3.235665,3.336127,-0.041578,-4.076110,4.076110,0.00005949,0.01158368,4846.080679
121,28.683184,3.237609,3.363905,-0.041678,-4.076110,4.076110,0.00005949,0.01158462,4846.080679
122,28.710383,3.239552,3.391683,-0.041776,-4.076110,4.076110,0.00005950,0.01158555,4846.080679
123,28.737538,3.241492,3.419461,-0.041872,-4.076110,4.076110,0.00005950,0.01158649,4846.080679
124,28.764647,3.243502,3.447239,-0.041967,-4.076110,4.076110,0.00005951,0.01158742,4846.080679
125,28.791710,3.245604,3.475016,-0.042060,-4.076110,4.076110,0.00005951,0.01158835,4846.080679
126,28.818729,3.247705,3.502794,-0.042151,-4.076110,4.076110,0.00005952,0.01158928,4846.080679
127,28.845703,3.249804,3.530572,-0.042241,-4.076110,4.076110,0.00005952,0.01159021,4846.080679
128,28.872632,3.251641,3.558350,-0.042329,-4.076110,4.076110,0.00005953,0.01159113,4846.080679
129,28.899516,3.253405,3.586127,-0.042416,-4.076110,4.076110,0.00005953,0.01159206,4846.080679
130,28.926355,3.255167,3.613905,-0.042501,-4.076110,4.076110,0.00005954,0.01159298,4846.080679
131,28.953149,3.256952,3.641683,-0.042585,-4.076110,4.076110,0.00005954,0.01159390,4846.080679
132,28.979899,3.258876,3.669461,-0.042668,-4.076110,4.076110,0.00005955,0.01159482,4846.080679
133,29.006604,3.260799,3.697239,-0.042749,-4.076110,4.076110,0.00005955,0.01159574,4846.080679
134,29.033264,3.262720,3.725016,-0.042829,-4.076110,4.076110,0.00005956,0.01159665,4846.080679
135,29.059881,3.264683,3.752794,-0.042907,-4.076110,4.076110,0.00005956,0.01159757,4846.080679
136,29.086452,3.266687,3.780572,-0.042984,-4.076110,4.076110,0.00005956,0.01159848,4846.080679
137,29.112980,3.268690,3.808350,-0.043060,-4.076110,4.076110,0.00005957,0.01159939,4846.080679
138,29.139463,3.270691,3.836127,-0.043134,-4.076110,4.076110,0.00005957,0.01160030,4846.080679
139,29.165902,3.272332,3.863905,-0.043208,-4.076110,4.076110,0.00005958,0.01160121,4846.080679
140,29.192298,3.273910,3.891683,-0.043280,-4.076110,4.076110,0.00005958,0.01160212,4846.080679
141,29.218649,3.275488,3.919461,-0.043350,-4.076110,4.076110,0.00005959,0.01160303,4846.080679
142,29.244956,3.277137,3.947239,-0.043420,-4.076110,4.076110,0.00005959,0.01160393,4846.080679
143,29.271219,3.279050,3.975016,-0.043488,-4.076110,4.076110,0.00005960,0.01160483,4846.080679
144,29.297439,3.280962,4.002794,-0.043556,-4.076110,4.076110,0.00005960,0.01160573,4846.080679
145,29.323615,3.282872,4.030572,-0.043622,-4.076110,4.076110,0.00005961,0.01160663,4846.080679
146,29.349747,3.284636,4.058350,-0.043687,-4.076110,4.076110,0.00005961,0.01160753,4846.080679
147,29.375836,3.286290,4.086127,-0.043751,-4.076110,4.076110,0.00005962,0.01160843,4846.080679
148,29.401881,3.287942,4.113905,-0.043814,-4.076110,4.076110,0.00005962,0.01160932,4846.080679
149,29.427883,3.289593,4.141683,-0.043876,-4.076110,4.076110,0.00005962,0.01161022,4846.080679
150,29.453841,3.291325,4.169461,-0.043936,-4.076110,4.076110,0.00005963,0.01161111,4846.080679
151,29.479756,3.293061,4.197239,-0.043996,-4.076110,4.076110,0.00005963,0.01161200,4846.080679
152,29.505628,3.294797,4.225016,-0.044055,-4.076110,4.076110,0.00005964,0.01161289,4846.080679
153,29.531457,3.296484,4.252794,-0.044113,-4.076110,4.076110,0.00005964,0.01161378,4846.080679
154,29.557243,3.298048,4.280572,-0.044170,-4.076110,4.076110,0.00005965,0.01161466,4846.080679
155,29.582986,3.299611,4.308350,-0.044226,-4.076110,4.076110,0.00005965,0.01161555,4846.080679
156,29.608686,3.301173,4.336127,-0.044281,-4.076110,4.076110,0.00005966,0.01161643,4846.080679
157,29.634343,3.302681,4.363905,-0.044335,-4.076110,4.076110,0.00005966,0.01161731,4846.080679
158,29.659958,3.304159,4.391683,-0.044388,-4.076110,4.076110,0.00005967,0.01161819,4846.080679
159,29.685529,3.305636,4.419461,-0.044440,-4.076110,4.076110,0.00005967,0.01161907,4846.080679
160,29.711058,3.307112,4.447239,-0.044492,-4.076110,4.076110,0.00005967,0.01161995,4846.080679
161,29.736545,3.308754,4.475016,-0.044542,-4.076110,4.076110,0.00005968,0.01162083,4846.080679
162,29.761989,3.310396,4.502794,-0.044592,-4.076110,4.076110,0.00005968,0.01162170,4846.080679
163,29.787391,3.312037,4.530572,-0.044641,-4.076110,4.076110,0.00005969,0.01162258,4846.080679
164,29.812750,3.313618,4.558350,-0.044689,-4.076110,4.076110,0.00005969,0.01162345,4846.080679
165,29.838067,3.315090,4.586127,-0.044737,-4.076110,4.076110,0.00005970,0.01162432,4846.080679
166,29.863342,3.316561,4.613905,-0.044783,-4.076110,4.076110,0.00005970,0.01162519,4846.080679
167,29.888575,3.318031,4.641683,-0.044829,-4.076110,4.076110,0.00005971,0.01162605,4846.080679
168,29.913765,3.319499,4.669461,-0.044874,-4.076110,4.076110,0.00005971,0.01162692,4846.080679
169,29.938914,3.320965,4.697239,-0.044919,-4.076110,4.076110,0.00005972,0.01162778,4846.080679
170,29.964021,3.322431,4.725016,-0.044962,-4.076110,4.076110,0.00005972,0.01162865,4846.080679
171,29.989086,3.323896,4.752794,-0.045005,-4.076110,4.076110,0.00005972,0.01162951,4846.080679
172,30.014109,3.325363,4.780572,-0.045047,-4.076110,4.076110,0.00005973,0.01163037,4846.080679
173,30.039090,3.326829,4.808350,-0.045089,-4.076110,4.076110,0.00005973,0.01163123,4846.080679
174,30.064030,3.328294,4.836127,-0.045130,-4.076110,4.076110,0.00005974,0.01163208,4846.080679
175,30.088928,3.329723,4.863905,-0.045170,-4.076110,4.076110,0.00005974,0.01163294,4846.080679
176,30.113785,3.331102,4.891683,-0.045210,-4.076110,4.076110,0.00005975,0.01163379,4846.080679
177,30.138600,3.332480,4.919461,-0.045249,-4.076110,4.076110,0.00005975,0.01163465,4846.080679
178,30.163374,3.333858,4.947239,-0.045287,-4.076110,4.076110,0.00005975,0.01163550,4846.080679
179,30.188107,3.335302,4.975016,-0.045324,-4.076110,4.076110,0.00005976,0.01163635,4846.080679
