Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,25.000000,4.056585,90.462248,-0.000084,-2.180258,4.076110,0.00005884,0.01145801,4846.080679
1,25.000001,4.057223,90.477106,-0.000528,-2.175381,4.076110,0.00005884,0.01145801,4846.080679
2,25.000003,4.057747,90.491931,-0.000964,-2.172701,4.076110,0.00005884,0.01145801,4846.080679
3,25.000004,4.058264,90.506737,-0.001391,-2.170022,4.076110,0.00005884,0.01145801,4846.080679
4,25.000006,4.058772,90.521526,-0.001810,-2.167347,4.076110,0.00005884,0.01145801,4846.080679
5,25.000007,4.059271,90.536296,-0.002221,-2.164674,4.076110,0.00005884,0.01145801,4846.080679
6,25.000008,4.059763,90.551047,-0.002624,-2.162005,4.076110,0.00005884,0.01145801,4846.080679
7,25.000010,4.060262,90.565781,-0.003019,-2.159340,4.076110,0.00005884,0.01145801,4846.080679
8,25.000011,4.060782,90.580496,-0.003407,-2.156677,4.076110,0.00005884,0.01145801,4846.080679
9,25.000012,4.061295,90.595194,-0.003787,-2.154018,4.076110,0.00005884,0.01145801,4846.080679
10,25.000014,4.061799,90.609873,-0.004160,-2.151362,4.076110,0.00005884,0.01145801,4846.080679
11,25.000015,4.062297,90.624534,-0.004526,-2.148709,4.076110,0.00005884,0.01145801,4846.080679
12,25.000016,4.062787,90.639177,-0.004884,-2.146059,4.076110,0.00005884,0.01145801,4846.080679
13,25.000018,4.063270,90.653802,-0.005236,-2.143413,4.076110,0.00005884,0.01145801,4846.080679
14,25.000019,4.063727,90.668409,-0.005581,-2.140770,4.076110,0.00005884,0.01145801,4846.080679
15,25.000020,4.064153,90.682997,-0.005919,-2.138131,4.076110,0.00005884,0.01145801,4846.080679
16,25.000022,4.064572,90.697568,-0.006251,-2.135494,4.076110,0.00005884,0.01145801,4846.080679
17,25.000023,4.064985,90.712121,-0.006576,-2.132861,4.076110,0.00005884,0.01145801,4846.080679
18,25.000024,4.065391,90.726656,-0.006895,-2.130231,4.076110,0.00005884,0.01145801,4846.080679
19,25.000026,4.065791,90.741173,-0.007207,-2.127604,4.076110,0.00005884,0.01145801,4846.080679
