Time,Temperature,Voltage_terminal,SOC,V1,Charge_Current,Capacity,R0,R1,C1
0,25.000000,2.505663,0.002794,-0.000084,-4.076110,4.076110,0.00005884,0.01145801,4846.080679
1,25.000005,2.561938,0.030572,-0.000916,-4.076110,4.076110,0.00005884,0.01145801,4846.080679
2,25.000010,2.617983,0.058350,-0.001733,-4.076110,4.076110,0.00005884,0.01145801,4846.080679
3,25.000015,2.674013,0.086127,-0.002536,-4.076110,4.076110,0.00005884,0.01145801,4846.080679
4,25.000020,2.702786,0.113905,-0.003324,-4.076110,4.076110,0.00005884,0.01145801,4846.080679
5,25.000024,2.716626,0.141683,-0.004098,-4.076110,4.076110,0.00005884,0.01145801,4846.080679
6,25.000029,2.730452,0.169461,-0.004859,-4.076110,4.076110,0.00005884,0.01145801,4846.080679
7,25.000034,2.744261,0.197239,-0.005606,-4.076110,4.076110,0.00005884,0.01145801,4846.080679
8,25.000039,2.756890,0.225016,-0.006339,-4.076110,4.076110,0.00005884,0.01145801,4846.080679
9,25.000044,2.769507,0.252794,-0.007060,-4.076110,4.076110,0.00005884,0.01145801,4846.080679
10,25.000049,2.782111,0.280572,-0.007767,-4.076110,4.076110,0.00005884,0.01145801,4846.080679
11,25.000053,2.794099,0.308350,-0.008462,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
12,25.000058,2.805000,0.336127,-0.009145,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
13,25.000063,2.815890,0.363905,-0.009815,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
14,25.000068,2.826767,0.391683,-0.010474,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
15,25.000073,2.836132,0.419461,-0.011120,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
16,25.000077,2.844892,0.447239,-0.011755,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
17,25.000082,2.853641,0.475016,-0.012379,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
18,25.000087,2.862274,0.502794,-0.012992,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
19,25.000092,2.869578,0.530572,-0.013593,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
20,25.000096,2.876872,0.558350,-0.014184,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
21,25.000101,2.884156,0.586127,-0.014765,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
22,25.000106,2.891104,0.613905,-0.015335,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
23,25.000110,2.897612,0.641683,-0.015895,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
24,25.000115,2.904110,0.669461,-0.016445,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
25,25.000120,2.910598,0.697239,-0.016985,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
26,25.000125,2.916679,0.725016,-0.017515,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
27,25.000129,2.922643,0.752794,-0.018036,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
28,25.000134,2.928598,0.780572,-0.018548,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
29,25.000139,2.934496,0.808350,-0.019050,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
30,25.000143,2.940100,0.836127,-0.019544,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
31,25.000148,2.945696,0.863905,-0.020029,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
32,25.000152,2.951283,0.891683,-0.020505,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
33,25.000157,2.956692,0.919461,-0.020972,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
34,25.000162,2.961925,0.947239,-0.021432,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
35,25.000166,2.967149,0.975016,-0.021883,-4.076110,4.076110,0.00005884,0.01145802,4846.080679
